county,date,case_status,cases,deaths,cases_cumulative,deaths_cumulative,cases_rolling,deaths_rolling
Oakland,2020-03-01,Confirmed,2,0,2,0,,
Oakland,2020-03-02,Confirmed,2,0,4,0,,
Oakland,2020-03-03,Confirmed,12,0,16,0,,
Oakland,2020-03-04,Confirmed,8,0,24,0,,
Oakland,2020-03-05,Confirmed,3,0,27,0,,
Oakland,2020-03-06,Confirmed,8,0,35,0,,
Oakland,2020-03-07,Confirmed,13,0,48,0,6.857142857142857,0.0
Oakland,2020-03-08,Confirmed,18,0,66,0,9.142857142857142,0.0
Oakland,2020-03-09,Confirmed,30,0,96,0,13.142857142857142,0.0
Oakland,2020-03-10,Confirmed,32,0,128,0,16.0,0.0
Oakland,2020-03-11,Confirmed,46,0,174,0,21.428571428571427,0.0
Oakland,2020-03-12,Confirmed,70,0,244,0,31.0,0.0
Oakland,2020-03-13,Confirmed,90,0,334,0,42.714285714285715,0.0
Oakland,2020-03-14,Confirmed,90,0,424,0,53.714285714285715,0.0
Oakland,2020-03-15,Confirmed,121,0,545,0,68.42857142857143,0.0
Oakland,2020-03-16,Confirmed,155,0,700,0,86.28571428571429,0.0
Oakland,2020-03-17,Confirmed,207,0,907,0,111.28571428571429,0.0
Oakland,2020-03-18,Confirmed,199,0,1106,0,133.14285714285714,0.0
Oakland,2020-03-19,Confirmed,176,1,1282,1,148.28571428571428,0.14285714285714285
Oakland,2020-03-20,Confirmed,210,1,1492,2,165.42857142857142,0.2857142857142857
Oakland,2020-03-21,Confirmed,160,2,1652,4,175.42857142857142,0.5714285714285714
Oakland,2020-03-22,Confirmed,181,3,1833,7,184.0,1.0
Oakland,2020-03-23,Confirmed,280,2,2113,9,201.85714285714286,1.2857142857142858
Oakland,2020-03-24,Confirmed,217,7,2330,16,203.28571428571428,2.2857142857142856
Oakland,2020-03-25,Confirmed,199,7,2529,23,203.28571428571428,3.2857142857142856
Oakland,2020-03-26,Confirmed,227,12,2756,35,210.57142857142858,4.857142857142857
Oakland,2020-03-27,Confirmed,245,10,3001,45,215.57142857142858,6.142857142857143
Oakland,2020-03-28,Confirmed,210,13,3211,58,222.71428571428572,7.714285714285714
Oakland,2020-03-29,Confirmed,158,16,3369,74,219.42857142857142,9.571428571428571
Oakland,2020-03-30,Confirmed,301,16,3670,90,222.42857142857142,11.571428571428571
Oakland,2020-03-31,Confirmed,252,23,3922,113,227.42857142857142,13.857142857142858
Oakland,2020-04-01,Confirmed,309,26,4231,139,243.14285714285714,16.571428571428573
Oakland,2020-04-02,Confirmed,218,20,4449,159,241.85714285714286,17.714285714285715
